Record Length,Analog:14000
Sample Interval,CH1:0.0000000010000
Vertical Units,CH1:V,,,
Vertical Scale,CH1:0.01,,,
Vertical Offset,CH1:-0.00100,,,
Horizontal Units,us,,,
Horizontal Scale,1.0000000000,,,
Model Number,SDS1204X-E,,,
Serial Number,SDSMMFCX5R6567,,,
Software Version,8.1.6.1.26,,,
Source,CH1
Second,Volt
 0.00000024400,0.00100
 0.00000024500,-0.00020
 0.00000024600,-0.00100
 0.00000024700,-0.00100
 0.00000024800,0.00060
 0.00000024900,0.00100
 0.00000025000,0.00180
 0.00000025100,0.00180
 0.00000025200,0.00100
 0.00000025300,0.00100
 0.00000025400,0.00020
 0.00000025500,-0.00100
 0.00000025600,-0.00140
 0.00000025700,0.00060
 0.00000025800,0.00060
 0.00000025900,-0.00100
 0.00000026000,-0.00140
 0.00000026100,-0.00180
 0.00000026200,-0.00140
 0.00000026300,-0.00020
 0.00000026400,-0.00100
 0.00000026500,-0.00180
 0.00000026600,0.00180
 0.00000026700,0.00300
 0.00000026800,0.00100
 0.00000026900,0.00060
 0.00000027000,0.00020
 0.00000027100,0.00100
 0.00000027200,0.00100
 0.00000027300,0.00140
 0.00000027400,0.00220
 0.00000027500,0.00180
 0.00000027600,0.00100
 0.00000027700,0.00100
 0.00000027800,0.00140
 0.00000027900,0.00060
 0.00000028000,0.00020
 0.00000028100,0.00060
 0.00000028200,0.00060
 0.00000028300,0.00180
 0.00000028400,0.00180
 0.00000028500,0.00060
 0.00000028600,0.00060
 0.00000028700,-0.00060
 0.00000028800,-0.00140
 0.00000028900,-0.00140
 0.00000029000,-0.00020
 0.00000029100,0.00020
 0.00000029200,0.00020
 0.00000029300,-0.00020
 0.00000029400,-0.00060
 0.00000029500,-0.00060
 0.00000029600,-0.00020
 0.00000029700,0.00060
 0.00000029800,0.00020
 0.00000029900,-0.00060
 0.00000030000,-0.00180
 0.00000030100,-0.00100
 0.00000030200,-0.00300
 0.00000030300,-0.00420
 0.00000030400,-0.00340
 0.00000030500,-0.00340
 0.00000030600,-0.00340
 0.00000030700,-0.00260
 0.00000030800,-0.00100
 0.00000030900,-0.00060
 0.00000031000,-0.00100
 0.00000031100,-0.00100
 0.00000031200,-0.00220
 0.00000031300,-0.00220
 0.00000031400,-0.00260
 0.00000031500,-0.00340
 0.00000031600,-0.00260
 0.00000031700,-0.00260
 0.00000031800,-0.00300
 0.00000031900,-0.00180
 0.00000032000,-0.00100
 0.00000032100,-0.00060
 0.00000032200,-0.00060
 0.00000032300,-0.00140
 0.00000032400,-0.00300
 0.00000032500,-0.00180
 0.00000032600,-0.00060
 0.00000032700,-0.00020
 0.00000032800,-0.00140
 0.00000032900,-0.00060
 0.00000033000,-0.00020
 0.00000033100,-0.00060
 0.00000033200,-0.00100
 0.00000033300,-0.00060
 0.00000033400,-0.00100
 0.00000033500,-0.00140
 0.00000033600,-0.00060
 0.00000033700,-0.00060
 0.00000033800,-0.00180
 0.00000033900,-0.00300
 0.00000034000,-0.00340
 0.00000034100,-0.00380
 0.00000034200,-0.00140
 0.00000034300,0.00020
 0.00000034400,0.00100
 0.00000034500,0.00140
 0.00000034600,-0.00020
 0.00000034700,-0.00020
 0.00000034800,0.00060
 0.00000034900,0.00060
 0.00000035000,0.00020
 0.00000035100,-0.00060
 0.00000035200,0.00060
 0.00000035300,0.00140
 0.00000035400,0.00180
 0.00000035500,0.00180
 0.00000035600,0.00260
 0.00000035700,0.00220
 0.00000035800,0.00220
 0.00000035900,0.00220
 0.00000036000,0.00140
 0.00000036100,0.00100
 0.00000036200,0.00100
